A0A024QZ18	uc004dmu.4 human
E9PDD6	uc002zmy.5 human
E9PDE3	uc062ves.1 human
E9PDE4	uc011cut.4 human
E9PDE6	uc061cjr.1 human
E9PDE8	uc062zlv.1 human
E9PDF1	uc063imf.1 human
E9PDF2	uc064diu.1 human
E9PDF4	uc061crq.1 human
E9PDF5	uc002kdy.4 human
E9PDF6	uc002usu.3 human
E9PDF9	uc062imm.1 human
E9PDG3	uc059zis.1 human
E9PDG8	uc063pus.1 human
E9PDG9	uc002gbt.3 human
E9PDH4	uc061rxc.1 human
E9PDH6	uc064izj.1 human
E9PDI2	uc011dja.3 human
E9PDI4	uc057ohx.1 human
E9PDI6	uc058jug.1 human
E9PDJ2	uc032pyr.2 human
E9PDJ4	uc064rul.1 human
E9PDJ7	uc003hbd.2 human
E9PDJ9	uc011byu.4 human
E9PDK2	uc059owu.1 human
E9PDK4	uc061oss.1 human
E9PDK7	uc060pwh.1 human
E9PDL2	uc011kvq.3 human
E9PDL4	uc064bmf.1 human
E9PDL8	uc064fxe.1 human
E9PDM0	uc061pgt.1 human
E9PDM8	uc062zfr.1 human
E9PDN4	uc001mfd.4 human
E9PDN5	uc004dcy.2 human
E9PDN6	uc002fex.2 human
E9PDN7	uc064gwl.1 human
E9PDP5	uc063hup.1 human
E9PDQ1	uc062xbp.1 human
E9PDQ5	uc010tjp.2 human
E9PDQ8	uc062lil.1 human
E9PDR0	uc003eqz.2 human
E9PDR1	uc061rzx.1 human
E9PDR3	uc064xnx.1 human
E9PDR5	uc011dyw.2 human
E9PDS3	uc003chc.4 human
E9PDS8	uc003xju.3 human
E9PDT6	uc063ero.1 human
E9PDU5	uc011bbz.2 human
E9PDU6	uc057imj.1 human
E9PDV3	uc060xyt.1 human
E9PDV9	uc011cwe.3 human
E9PDW2	uc063dgj.1 human
E9PDX4	uc057owk.1 human
E9PDY4	uc001hfx.4 human
E9PDY6	uc021xjp.3 human
E9PDY7	uc003dye.5 human
E9PDZ0	uc063njc.1 human
E9PDZ4	uc009zfh.4 human
E9PE09	uc057rdg.1 human
E9PE10	uc057hgd.1 human
E9PE15	uc063axm.1 human
E9PE17	uc064dtu.1 human
E9PE19	uc060jck.1 human
E9PE20	uc057pxb.1 human
E9PE22	uc064cus.1 human
E9PE24	uc061gwl.1 human
E9PE34	uc063pig.1 human
E9PE37	uc058zcg.1 human
E9PE46	uc060wgp.1 human
E9PE47	uc001rmf.4 human
E9PE54	uc057olp.1 human
E9PE63	uc011cew.3 human
E9PE72	uc063rkf.1 human
E9PE76	uc061hgf.1 human
E9PE82	uc058uea.1 human
E9PE85	uc061jph.1 human
E9PE89	uc058ocd.1 human
E9PE90	uc061say.1 human
E9PE95	uc010yuh.3 human
E9PE96	uc064exf.1 human
E9PEA7	uc011aya.2 human
E9PEB5	uc057hvf.1 human
E9PEB9	uc021zba.3 human
E9PEC3	uc062ocz.1 human
E9PEC4	uc064dku.1 human
E9PED7	uc002zxy.4 human
E9PEE2	uc061mpm.1 human
E9PEE8	uc010zcq.3 human
E9PEF1	uc010rrd.3 human
E9PEF9	uc064iey.1 human
E9PEG3	uc064zqv.1 human
E9PEH0	uc062xqy.1 human
E9PEH1	uc064zar.1 human
E9PEH6	uc011kic.2 human
E9PEI0	uc003xeq.2 human
E9PEI2	uc002wgt.5 human
E9PEI4	uc003yvo.4 human
E9PEI5	uc064gve.1 human
E9PEI6	uc003nsg.3 human
E9PEJ1	uc010hpy.2 human
E9PEJ4	uc058hha.1 human
E9PEJ6	uc001vsj.4 human
E9PEK0	uc063ipn.1 human
E9PEK1	uc061oxy.1 human
E9PEK3	uc057nvp.1 human
E9PEK4	uc063ipr.1 human
E9PEK8	uc061pwx.1 human
E9PEL3	uc061sft.1 human
E9PEL9	uc063sij.1 human
E9PEM0	uc010fmx.3 human
E9PEM3	uc003fyg.4 human
E9PEM5	uc063adx.1 human
E9PEN0	uc061uti.1 human
E9PEP3	uc058tuf.1 human
E9PEP6	uc001iwv.5 human
E9PEP7	uc064yjq.1 human
E9PEQ5	uc064irz.1 human
E9PEQ6	uc057fcn.1 human
E9PER6	uc002cqu.5 human
E9PER7	uc062mxr.1 human
E9PES2	uc064jpw.1 human
E9PES4	uc011cxf.3 human
E9PES6	uc065bpo.1 human
E9PET4	uc003fmi.4 human
E9PEV4	uc060zue.1 human
E9PEW0	uc060kwh.1 human
E9PEW5	uc063cms.1 human
E9PEW8	uc057yhc.1 human
E9PEX6	uc011kmh.4 human
E9PEX9	uc063atp.1 human
E9PEY4	uc061hfm.1 human
E9PEZ1	uc003oul.4 human
E9PEZ5	uc010otd.2 human
E9PEZ7	uc061rpv.1 human
E9PF00	uc059wxd.1 human
E9PF01	uc064hif.1 human
E9PF05	uc011ast.3 human
E9PF06	uc062nwe.1 human
E9PF10	uc010iuz.3 human
E9PF16	uc010wml.3 human
E9PF17	uc063fbs.1 human
E9PF18	uc003hyr.4 human
E9PF19	uc011kex.4 human
E9PF25	uc062ibg.1 human
E9PF31	uc059jqn.1 human
E9PF32	uc064qsx.1 human
E9PF42	uc011brb.3 human
E9PF46	uc061jdx.1 human
E9PF49	uc011lim.2 human
E9PF55	uc002vgr.3 human
E9PF58	uc064fsc.1 human
E9PF59	uc003wli.4 human
E9PF63	uc061grs.1 human
E9PF78	uc064fce.1 human
E9PF82	uc003ibo.5 human
E9PF84	uc065bws.1 human
E9PF88	uc061ipm.1 human
E9PF91	uc060dxb.1 human
E9PF95	uc058jqu.1 human
E9PFA2	uc063bde.1 human
E9PFB4	uc058lbr.1 human
E9PFB5	uc064xyk.1 human
E9PFB6	uc003ylp.4 human
E9PFB8	uc063mhn.1 human
E9PFB9	uc021opx.2 human
E9PFD2	uc062nfi.1 human
E9PFD3	uc003doj.4 human
E9PFD4	uc064bsf.1 human
E9PFD7	uc022adn.2 human
E9PFD9	uc064uem.1 human
E9PFE2	uc003uar.1 human
E9PFE3	uc011jxx.2 human
E9PFE6	uc062nws.1 human
E9PFE8	uc011bcw.4 human
E9PFF2	uc062ksc.1 human
E9PFF5	uc011bqk.3 human
E9PFF8	uc062mlx.1 human
E9PFF9	uc011kjj.3 human
E9PFG0	uc062ylh.1 human
E9PFG7	uc011kby.3 human
E9PFG9	uc002scg.4 human
E9PFH1	uc061ooi.1 human
E9PFH2	uc065ctw.1 human
E9PFH4	uc003vom.3 human
E9PFH7	uc059ozt.1 human
E9PFI2	uc011bji.3 human
E9PFI4	uc010iee.4 human
E9PFI5	uc063aej.1 human
E9PFI7	uc063dly.1 human
E9PFI9	uc064epd.1 human
E9PFJ1	uc062guy.1 human
E9PFJ2	uc057bio.1 human
E9PFJ4	uc063pdl.1 human
E9PFK5	uc062utc.1 human
E9PFK9	uc064eap.1 human
E9PFL1	uc060ewb.1 human
E9PFL3	uc058ztz.1 human
E9PFL9	uc061piw.1 human
E9PFM0	uc009yeo.3 human
E9PFM6	uc010yin.1 human
E9PFN4	uc011axb.4 human
E9PFN5	uc064iuv.1 human
E9PFP1	uc060von.1 human
E9PFP8	uc002zht.3 human
E9PFQ4	uc062miw.1 human
E9PFQ8	uc063lrl.1 human
E9PFR3	uc063ook.1 human
E9PFR9	uc010tdb.4 human
E9PFT2	uc062uxn.1 human
E9PFT5	uc060auz.1 human
E9PFT6	uc057yha.1 human
E9PFT7	uc063gap.1 human
E9PFU3	uc064edh.1 human
E9PFU5	uc003tcf.2 human
E9PFU9	uc061srs.1 human
E9PFV2	uc062guz.1 human
E9PFV3	uc062gvc.1 human
E9PFV5	uc062iei.1 human
E9PFW2	uc011ces.3 human
E9PFW3	uc062qrq.1 human
E9PFW6	uc063fek.1 human
E9PFW8	uc063kqv.1 human
E9PFW9	uc058olz.1 human
E9PFX0	uc011ddl.2 human
E9PFX5	uc003bwv.4 human
E9PFX6	uc003vtu.4 human
E9PFY5	uc063sxm.1 human
E9PFZ0	uc010cyx.4 human
E9PFZ1	uc062lsp.1 human
E9PFZ2	uc062owf.1 human
E9PG02	uc064dvd.1 human
E9PG08	uc003fqp.5 human
E9PG15	uc061gol.1 human
E9PG18	uc062ihd.1 human
E9PG19	uc058fem.1 human
E9PG22	uc011bhf.2 human
E9PG32	uc032rop.2 human
E9PG35	uc062qnj.1 human
E9PG37	uc011bew.3 human
E9PG39	uc011krg.2 human
E9PG40	uc011ach.3 human
E9PG44	uc011dlv.3 human
E9PG46	uc032nqh.2 human
E9PG54	uc010yzx.3 human
E9PG59	uc062zvm.1 human
E9PG69	uc061qto.1 human
E9PG70	uc061zer.1 human
E9PG71	uc002vmr.3 human
E9PG73	uc010fpx.4 human
E9PG80	uc060pam.1 human
E9PG82	uc064fcm.1 human
E9PG84	uc011cgg.2 human
E9PG90	uc064fxd.1 human
E9PG92	uc010zhs.3 human
E9PGA6	uc063cve.1 human
E9PGA7	uc003dnu.3 human
E9PGB1	uc062ukj.1 human
E9PGB2	uc064xhk.1 human
E9PGB3	uc057wmv.1 human
E9PGB6	uc063myu.1 human
E9PGB8	uc064vrz.1 human
E9PGC0	uc011ctw.3 human
E9PGC5	uc063rga.1 human
E9PGC7	uc059ngy.1 human
E9PGC8	uc059ijy.1 human
E9PGD8	uc057pun.1 human
E9PGE5	uc062lyv.1 human
E9PGE9	uc062pui.1 human
E9PGF5	uc002vgs.3 human
E9PGF6	uc003dyi.4 human
E9PGG1	uc061pqh.1 human
E9PGG2	uc010tci.2 human
E9PGH5	uc011cfi.3 human
E9PGI0	uc063fmk.1 human
E9PGI3	uc062yti.1 human
E9PGK7	uc010gpt.2 human
E9PGM1	uc010hxz.3 human
E9PGM3	uc058sff.1 human
E9PGM4	uc062lra.1 human
E9PGM7	uc003hsf.3 human
E9PGM9	uc062jzp.1 human
E9PGN6	uc064azg.1 human
E9PGN7	uc058bmx.1 human
E9PGP6	uc064jkx.1 human
E9PGQ0	uc009wrr.5 human
E9PGR3	uc062pmv.1 human
E9PGR5	uc062xkr.1 human
E9PGT1	uc061nmk.1 human
E9PGT3	uc057dsl.1 human
E9PGT6	uc061tzf.1 human
E9PGU0	uc062vkm.1 human
E9PGV1	uc057jbf.1 human
E9PGV7	uc062jax.1 human
E9PGV9	uc062akm.1 human
E9PGW3	uc063mfl.1 human
E9PGW7	uc064wuk.1 human
E9PGW9	uc003wyh.4 human
E9PGX4	uc064ehz.1 human
E9PGX9	uc061pix.1 human
E9PGY2	uc003sjc.3 human
E9PGY3	uc064bxh.1 human
E9PGZ1	uc064ifs.1 human
E9PGZ4	uc011bag.2 human
E9PGZ6	uc059jfo.1 human
E9PGZ7	uc032qjq.2 human
E9PH05	uc011bjq.2 human
E9PH18	uc011kvz.3 human
E9PH21	uc062cfu.1 human
E9PH25	uc062zxr.1 human
E9PH27	uc060mbq.1 human
E9PH32	uc062rxk.1 human
E9PH36	uc058ylg.1 human
E9PH38	uc061cch.1 human
E9PH57	uc002lga.4 human
E9PH58	uc010zkl.2 human
E9PH60	uc003vjv.4 human
E9PH62	uc064nsc.1 human
E9PH64	uc064qae.1 human
E9PH66	uc061qtf.1 human
E9PH68	uc060frv.1 human
E9PH70	uc061glx.1 human
E9PH71	uc057pue.1 human
E9PH76	uc062izp.1 human
E9PH80	uc062ezv.1 human
E9PH82	uc061hzw.1 human
E9PH88	uc061qqe.1 human
E9PH98	uc062wuj.1 human
E9PH99	uc003pdl.5 human
E9PHA2	uc061lvr.1 human
E9PHA6	uc061iyj.1 human
E9PHA9	uc003dwa.4 human
E9PHB0	uc058mna.1 human
E9PHB3	uc009zew.2 human
E9PHB5	uc063cjj.1 human
E9PHB6	uc062ihj.1 human
E9PHB8	uc064eah.1 human
E9PHB9	uc062xwp.1 human
E9PHC0	uc011chp.2 human
E9PHC9	uc061ruq.1 human
E9PHD0	uc059luv.1 human
E9PHD9	uc001qij.2 human
E9PHE4	uc061ywn.1 human
E9PHF7	uc003flg.4 human
E9PHG0	uc064iuo.1 human
E9PHG3	uc061lox.1 human
E9PHG5	uc010zif.3 human
E9PHH0	uc002two.4 human
E9PHH3	uc010exv.4 human
E9PHH8	uc057kbb.1 human
E9PHH9	uc009wix.4 human
E9PHI0	uc062lzq.1 human
E9PHI4	uc064atu.1 human
E9PHI6	uc011axh.3 human
E9PHI8	uc011bll.3 human
E9PHJ1	uc061ouq.1 human
E9PHJ4	uc065bya.1 human
E9PHK0	uc062ixd.1 human
E9PHK4	uc061tix.1 human
E9PHK5	uc061hev.1 human
E9PHL0	uc058jxe.1 human
E9PHM2	uc010hit.2 human
E9PHM6	uc021zaz.3 human
E9PHN6	uc057jbg.1 human
E9PHN7	uc057jaz.1 human
E9PHP2	uc062ckw.1 human
E9PHQ0	uc063ibf.1 human
E9PHR8	uc063poc.1 human
E9PHR9	uc010hva.5 human
E9PHS0	uc061rzf.1 human
E9PHT0	uc061hik.1 human
E9PHT2	uc061wmn.1 human
E9PHT3	uc003ear.4 human
E9PHT4	uc003exl.4 human
E9PHT6	uc010nza.2 human
E9PHT9	uc062zig.1 human
E9PHV1	uc063myq.1 human
E9PHV4	uc061nrd.1 human
E9PHV5	uc002uoj.5 human
E9PHV6	uc061tjn.1 human
E9PHW4	uc003kuw.6 human
E9PHW9	uc062zdc.1 human
E9PHX8	uc061myr.1 human
E9PHX9	uc057gks.1 human
E9PHY0	uc010rhg.3 human
E9PHY1	uc058enc.1 human
E9PHY2	uc059txb.1 human
E9PHY3	uc057zdp.1 human
E9PHY4	uc057xcf.1 human
E9PHY5	uc032xlt.2 human
E9PHY6	uc057iex.1 human
E9PHY8	uc010mft.4 human
E9PHY9	uc058ozg.1 human
E9PHZ0	uc064rds.1 human
E9PHZ1	uc057daz.1 human
E9PHZ2	uc058gkd.1 human
E9PHZ3	uc058hut.1 human
E9PHZ4	uc064ruf.1 human
E9PHZ5	uc064khz.1 human
E9PHZ6	uc058hew.1 human
E9PHZ8	uc057xof.1 human
E9PHZ9	uc063rpc.1 human
E9PI00	uc063nrs.1 human
E9PI01	uc063rhi.1 human
E9PI02	uc064rjy.1 human
E9PI03	uc063nus.1 human
E9PI04	uc057xcj.1 human
E9PI05	uc058hts.1 human
E9PI06	uc064nnf.1 human
E9PI08	uc058ebl.1 human
E9PI09	uc057dre.1 human
E9PI10	uc058iqu.1 human
E9PI11	uc057fyj.1 human
E9PI12	uc058azf.1 human
E9PI14	uc058bsa.1 human
E9PI18	uc058fzu.1 human
E9PI20	uc059kmg.1 human
E9PI21	uc058aor.1 human
E9PI23	uc058ite.1 human
E9PI24	uc058dui.1 human
E9PI26	uc057zqm.1 human
E9PI27	uc059kmi.1 human
E9PI28	uc058azg.1 human
E9PI29	uc058bjj.1 human
E9PI30	uc058drg.1 human
E9PI31	uc058ikx.1 human
E9PI32	uc058ivd.1 human
E9PI33	uc057ejv.1 human
E9PI35	uc057gsm.1 human
E9PI36	uc060sdv.1 human
E9PI37	uc063nrc.1 human
E9PI38	uc058dnt.1 human
E9PI39	uc064raz.1 human
E9PI40	uc058flt.1 human
E9PI41	uc064rhp.1 human
E9PI42	uc063brc.1 human
E9PI44	uc060ifb.1 human
E9PI45	uc057knf.1 human
E9PI46	uc059dhf.1 human
E9PI47	uc058dqv.1 human
E9PI48	uc064ppc.1 human
E9PI49	uc058bhj.1 human
E9PI50	uc059bwx.1 human
E9PI51	uc063rrd.1 human
E9PI52	uc058umy.1 human
E9PI53	uc058fme.1 human
E9PI54	uc001zmm.2 human
E9PI56	uc058gfl.1 human
E9PI58	uc057yty.1 human
E9PI59	uc058apu.1 human
E9PI60	uc063odq.1 human
E9PI61	uc058dyq.1 human
E9PI62	uc057wzq.1 human
E9PI63	uc058emx.1 human
E9PI64	uc057drk.1 human
E9PI65	uc058ipb.1 human
E9PI66	uc060iaa.1 human
E9PI67	uc057yua.1 human
E9PI68	uc058fll.1 human
E9PI70	uc057xqj.1 human
E9PI72	uc057yuq.1 human
E9PI73	uc058hzl.1 human
E9PI74	uc057xmm.1 human
E9PI75	uc057bcw.1 human
E9PI76	uc060xlp.1 human
E9PI77	uc058gvf.1 human
E9PI78	uc058dgp.1 human
E9PI79	uc057ypq.1 human
E9PI80	uc058afq.1 human
E9PI82	uc060gos.1 human
E9PI83	uc061bhz.1 human
E9PI84	uc057hik.1 human
E9PI86	uc057gaj.1 human
E9PI87	uc057zur.1 human
E9PI90	uc058gdk.1 human
E9PI91	uc058dxa.1 human
E9PI92	uc057zgl.1 human
E9PI93	uc064rca.1 human
E9PI94	uc064xlh.1 human
E9PI95	uc009yvp.4 human
E9PI96	uc061lft.1 human
E9PI99	uc057fgn.1 human
E9PIA0	uc057gfe.1 human
E9PIA2	uc064rgd.1 human
E9PIA3	uc064tpv.1 human
E9PIA6	uc064rgp.1 human
E9PIA7	uc057xit.1 human
E9PIA8	uc057fem.1 human
E9PIA9	uc058dhn.1 human
E9PIB0	uc057fcf.1 human
E9PIB1	uc063nrl.1 human
E9PIB2	uc064qzd.1 human
E9PIB3	uc058dnb.1 human
E9PIB4	uc058jci.1 human
E9PIB5	uc058gdv.1 human
E9PIB6	uc058hlc.1 human
E9PIB7	uc058ghc.1 human
E9PIB8	uc058ter.1 human
E9PIB9	uc058pvp.1 human
E9PIC1	uc059afl.1 human
E9PIC2	uc064uui.1 human
E9PIC3	uc058zpo.1 human
E9PIC4	uc057elt.1 human
E9PIC5	uc010ots.4 human
E9PIC6	uc064mle.1 human
E9PIC7	uc064mbh.1 human
E9PIC8	uc057yjc.1 human
E9PID0	uc064kim.1 human
E9PID1	uc059aif.1 human
E9PID2	uc058bdh.1 human
E9PID3	uc058aaq.1 human
E9PID4	uc001oev.4 human
E9PID5	uc058erz.1 human
E9PID6	uc058hyv.1 human
E9PID7	uc058glr.1 human
E9PID8	uc065afv.1 human
E9PIE0	uc057dpc.1 human
E9PIE1	uc058ijn.1 human
E9PIE2	uc061bhs.1 human
E9PIE3	uc057yjh.1 human
E9PIE4	uc058bgz.1 human
E9PIE6	uc058hyw.1 human
E9PIE8	uc001gov.4 human
E9PIE9	uc063nqh.1 human
E9PIF0	uc063apu.1 human
E9PIF1	uc057xxx.1 human
E9PIF2	uc001pkl.3 human
E9PIF3	uc059rbw.1 human
E9PIF4	uc063nim.1 human
E9PIF5	uc064lzy.1 human
E9PIF6	uc057ixs.1 human
E9PIF7	uc058gkk.1 human
E9PIF9	uc057dnq.1 human
E9PIG0	uc063rjf.1 human
E9PIG1	uc057bcx.1 human
E9PIG2	uc058foo.1 human
E9PIG4	uc058fyu.1 human
E9PIG5	uc058ecn.1 human
E9PIG6	uc058abf.1 human
E9PIH0	uc060ayw.1 human
E9PIH3	uc064rqm.1 human
E9PIH6	uc058dmb.1 human
E9PIH7	uc058qaa.1 human
E9PIH8	uc058gdj.1 human
E9PIH9	uc065box.1 human
E9PII1	uc057yuo.1 human
E9PII2	uc058gjw.1 human
E9PII3	uc063rit.1 human
E9PII4	uc058bjc.1 human
E9PII5	uc057gfo.1 human
E9PII7	uc058dpw.1 human
E9PII8	uc057jht.1 human
E9PII9	uc058dcr.1 human
E9PIJ0	uc059mtp.1 human
E9PIJ1	uc057izx.1 human
E9PIJ2	uc057izg.1 human
E9PIJ4	uc063tlg.1 human
E9PIJ6	uc057yaw.1 human
E9PIJ7	uc059ngx.1 human
E9PIJ9	uc058gcr.1 human
E9PIK0	uc057nra.1 human
E9PIK1	uc057zlc.1 human
E9PIK2	uc057fqb.1 human
E9PIK3	uc057izh.1 human
E9PIK4	uc058asc.1 human
E9PIK5	uc057xhj.1 human
E9PIK7	uc057vzn.1 human
E9PIK8	uc057ypg.1 human
E9PIK9	uc064rgo.1 human
E9PIL0	uc059kmb.1 human
E9PIL1	uc064rqg.1 human
E9PIL2	uc010rsv.2 human
E9PIL3	uc059vjf.1 human
E9PIL5	uc062aws.1 human
E9PIL7	uc057bdf.1 human
E9PIL8	uc058dtl.1 human
E9PIL9	uc058bud.1 human
E9PIM0	uc058gdt.1 human
E9PIM1	uc064rlw.1 human
E9PIM2	uc058htv.1 human
E9PIM3	uc058fvg.1 human
E9PIM5	uc058ixx.1 human
E9PIM6	uc058ijr.1 human
E9PIM7	uc060jrt.1 human
E9PIM8	uc058hzw.1 human
E9PIM9	uc057xhf.1 human
E9PIN0	uc058hbi.1 human
E9PIN3	uc058cnm.1 human
E9PIN4	uc057ybl.1 human
E9PIN5	uc058ase.1 human
E9PIN6	uc058ild.1 human
E9PIN7	uc061vhp.1 human
E9PIN8	uc058oze.1 human
E9PIN9	uc058fru.1 human
E9PIP0	uc057xqi.1 human
E9PIP1	uc058god.1 human
E9PIP2	uc059yfu.1 human
E9PIP3	uc063nqg.1 human
E9PIP4	uc058ewl.1 human
E9PIP5	uc064rcb.1 human
E9PIP6	uc011ajx.3 human
E9PIP7	uc058egi.1 human
E9PIP8	uc057mui.1 human
E9PIP9	uc058euo.1 human
E9PIQ2	uc058iko.1 human
E9PIQ3	uc063ntd.1 human
E9PIQ4	uc058fuu.1 human
E9PIQ5	uc058hbj.1 human
E9PIQ6	uc058dif.1 human
E9PIQ7	uc057lhl.1 human
E9PIQ8	uc057yes.1 human
E9PIQ9	uc061wwu.1 human
E9PIR1	uc060ghh.1 human
E9PIR2	uc058fla.1 human
E9PIR3	uc001pmy.5 human
E9PIR4	uc058hyz.1 human
E9PIR5	uc057yzz.1 human
E9PIR7	uc058soj.1 human
E9PIR8	uc057kwu.1 human
E9PIR9	uc057dqm.1 human
E9PIS0	uc057bcd.1 human
E9PIS1	uc064kil.1 human
E9PIS2	uc058ghq.1 human
E9PIS3	uc057yww.1 human
E9PIS4	uc061xjt.1 human
E9PIS6	uc058hkv.1 human
E9PIS7	uc057htl.1 human
E9PIS9	uc064mnb.1 human
E9PIT0	uc057ybm.1 human
E9PIT1	uc058hcp.1 human
E9PIT2	uc058cqu.1 human
E9PIT3	uc058aym.1 human
E9PIT4	uc058hzc.1 human
E9PIT5	uc058eeh.1 human
E9PIT6	uc057xcz.1 human
E9PIT8	uc058dva.1 human
E9PIT9	uc058ozh.1 human
E9PIU0	uc058akz.1 human
E9PIU1	uc058ddd.1 human
E9PIU3	uc058cls.1 human
E9PIU4	uc057zor.1 human
E9PIU5	uc063mgq.1 human
E9PIU6	uc061vhq.1 human
E9PIU7	uc058cmm.1 human
E9PIU8	uc063rfg.1 human
E9PIU9	uc058fmg.1 human
E9PIV0	uc057zoo.1 human
E9PIV2	uc059pun.1 human
E9PIV6	uc058btu.1 human
E9PIV8	uc059viv.1 human
E9PIV9	uc057yqe.1 human
E9PIW1	uc058gvd.1 human
E9PIW2	uc010rtb.1 human
E9PIW3	uc057yvv.1 human
E9PIW4	uc063rqc.1 human
E9PIW5	uc057fyi.1 human
E9PIW6	uc057uzw.1 human
E9PIW7	uc058hta.1 human
E9PIW9	uc060ulq.1 human
E9PIX0	uc003zbf.4 human
E9PIX1	uc057jhq.1 human
E9PIX2	uc064rle.1 human
E9PIX3	uc063ovl.1 human
E9PIX5	uc058buw.1 human
E9PIX6	uc061bhr.1 human
E9PIX7	uc058xgd.1 human
E9PIX8	uc057hrl.1 human
E9PIX9	uc057bcf.1 human
E9PIY0	uc064kfz.1 human
E9PIY1	uc058bba.1 human
E9PIY2	uc001pdo.2 human
E9PIY4	uc057fqt.1 human
E9PIY5	uc057emw.1 human
E9PIY6	uc058bai.1 human
E9PIY7	uc058gwc.1 human
E9PIY8	uc057ybi.1 human
E9PIZ0	uc058dvm.1 human
E9PIZ1	uc064rbi.1 human
E9PIZ2	uc001nbw.2 human
E9PIZ4	uc058gki.1 human
E9PIZ5	uc001tkv.4 human
E9PIZ6	uc058bbd.1 human
E9PIZ7	uc057emt.1 human
E9PIZ8	uc057vkb.1 human
E9PJ00	uc058ihb.1 human
E9PJ02	uc058huw.1 human
E9PJ03	uc057hhr.1 human
E9PJ04	uc058dtg.1 human
E9PJ05	uc064riv.1 human
E9PJ06	uc058afd.1 human
E9PJ07	uc001lip.2 human
E9PJ09	uc058asl.1 human
E9PJ10	uc058xnk.1 human
E9PJ11	uc064ppd.1 human
E9PJ12	uc063ods.1 human
E9PJ14	uc058kim.1 human
E9PJ15	uc058dja.1 human
E9PJ16	uc058icd.1 human
E9PJ18	uc060sdy.1 human
E9PJ19	uc057yet.1 human
E9PJ20	uc064rln.1 human
E9PJ21	uc058iea.1 human
E9PJ23	uc010vcr.4 human
E9PJ24	uc010qwe.4 human
E9PJ26	uc058fwz.1 human
E9PJ27	uc058yrx.1 human
E9PJ28	uc001oik.2 human
E9PJ29	uc058ilb.1 human
E9PJ30	uc059hub.1 human
E9PJ31	uc059ypd.1 human
E9PJ32	uc058hsn.1 human
E9PJ33	uc058bbh.1 human
E9PJ34	uc058ije.1 human
E9PJ35	uc057lva.1 human
E9PJ36	uc058des.1 human
E9PJ38	uc064poi.1 human
E9PJ40	uc064poe.1 human
E9PJ42	uc057yxc.1 human
E9PJ43	uc059dms.1 human
E9PJ44	uc058lpa.1 human
E9PJ45	uc058aqr.1 human
E9PJ46	uc064rdc.1 human
E9PJ47	uc058ddt.1 human
E9PJ48	uc058alz.1 human
E9PJ49	uc057yje.1 human
E9PJ50	uc059tdu.1 human
E9PJ52	uc057mmq.1 human
E9PJ53	uc058gka.1 human
E9PJ54	uc058eun.1 human
E9PJ55	uc001muf.2 human
E9PJ57	uc057zcm.1 human
E9PJ58	uc058fky.1 human
E9PJ59	uc058aqu.1 human
E9PJ60	uc001ebt.4 human
E9PJ61	uc057zaq.1 human
E9PJ62	uc057yfi.1 human
E9PJ63	uc058jhj.1 human
E9PJ65	uc057fsd.1 human
E9PJ66	uc058bgg.1 human
E9PJ67	uc064kif.1 human
E9PJ68	uc058bmi.1 human
E9PJ70	uc064kee.1 human
E9PJ72	uc060qgj.1 human
E9PJ73	uc058dbx.1 human
E9PJ74	uc060gor.1 human
E9PJ75	uc058bbg.1 human
E9PJ77	uc057qpe.1 human
E9PJ78	uc058bta.1 human
E9PJ79	uc058fsg.1 human
E9PJ80	uc057glv.1 human
E9PJ81	uc058cku.1 human
E9PJ82	uc058ewj.1 human
E9PJ83	uc058bir.1 human
E9PJ84	uc064rcc.1 human
E9PJ86	uc058cqr.1 human
E9PJ87	uc057dcj.1 human
E9PJ88	uc059rdw.1 human
E9PJ89	uc057ifb.1 human
E9PJ90	uc063rpi.1 human
E9PJ91	uc057xql.1 human
E9PJ92	uc057ejo.1 human
E9PJ93	uc057dcf.1 human
E9PJ94	uc058ikv.1 human
E9PJ95	uc058akr.1 human
E9PJ96	uc063rqm.1 human
E9PJ97	uc058bnx.1 human
E9PJA0	uc057ypi.1 human
E9PJA1	uc061bxp.1 human
E9PJA2	uc057jcp.1 human
E9PJA3	uc058igu.1 human
E9PJA5	uc058aqi.1 human
E9PJA6	uc058dhi.1 human
E9PJA7	uc063rsn.1 human
E9PJA8	uc057fgi.1 human
E9PJB0	uc057zeb.1 human
E9PJB1	uc010rmp.2 human
E9PJB2	uc058ggb.1 human
E9PJB3	uc058gwa.1 human
E9PJB4	uc060sdz.1 human
E9PJB5	uc057nnb.1 human
E9PJB6	uc060wlc.1 human
E9PJB7	uc058aqy.1 human
E9PJB8	uc059nye.1 human
E9PJB9	uc058lpd.1 human
E9PJC0	uc057ehm.1 human
E9PJC1	uc064rlj.1 human
E9PJC2	uc060nxf.1 human
E9PJC3	uc057ytm.1 human
E9PJC4	uc059abf.1 human
E9PJC5	uc057xrm.1 human
E9PJC6	uc058chr.1 human
E9PJC7	uc058ara.1 human
E9PJC8	uc057xoz.1 human
E9PJC9	uc057wei.1 human
E9PJD0	uc064ral.1 human
E9PJD1	uc058hal.1 human
E9PJD2	uc057ghx.1 human
E9PJD4	uc058ikp.1 human
E9PJD7	uc064rnd.1 human
E9PJD8	uc058enk.1 human
E9PJD9	uc057ysm.1 human
E9PJE1	uc058jce.1 human
E9PJE2	uc058fwy.1 human
